brinnummer_duo,opleidingscode_duo,instellingsnaam_duo,croho_onderdeel_duo,croho_subonderdeel_duo,opleidingsnaam_duo,ho_type,soortopleiding_duo,2015_man_i,2015_vrouw_i,2016_man_i,2016_vrouw_i,2017_man_i,2017_vrouw_i,2018_man_i,2018_vrouw_i,2019_man_i,2019_vrouw_i,2015_tot_i,2016_tot_i,2017_tot_i,2018_tot_i,2019_tot_i,2014_man_d,2014_vrouw_d,2015_man_d,2015_vrouw_d,2016_man_d,2016_vrouw_d,2017_man_d,2017_vrouw_d,2018_man_d,2018_vrouw_d,2014_tot_d,2015_tot_d,2016_tot_d,2017_tot_d,2018_tot_d,gemeentenummer_duo,cluster_sdb,sector_sdb,actieveopleiding_sdb,naamopleidingengels_sdb,eerstejaarsaantal_sdb,studentenaantal_sdb,_merge,tech_keyword,tech_label
25DW,35388,Hogeschool Utrecht,onderwijs,n.v.t. (onderwijs),Opleiding tot leraar voortgezet onderwijs van de tweede graad in Gezondheidszorg en Welzijn,hbo,bachelor,1.0,13.0,4.0,15.0,0.0,12.0,1.0,16.0,2.0,14.0,14.0,19.0,12.0,17.0,16.0,0.0,12.0,0.0,10.0,3.0,16.0,2.0,12.0,2.0,11.0,12.0,10.0,19.0,14.0,13.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen maatschappijvakken,Onderwijs en Opvoeding,1.0,Teacher Education in Welfare and Health Care,24.0,81.0,both,,no_tech
25DW,35421,Hogeschool Utrecht,onderwijs,n.v.t. (onderwijs),Opleiding tot leraar voortgezet onderwijs van de tweede graad in omgangskunde,hbo,bachelor,4.0,21.0,4.0,19.0,9.0,24.0,11.0,24.0,4.0,27.0,25.0,23.0,33.0,35.0,31.0,12.0,59.0,13.0,44.0,16.0,49.0,15.0,42.0,12.0,53.0,71.0,57.0,65.0,57.0,65.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen maatschappijvakken,Onderwijs en Opvoeding,1.0,Teacher Education in Social Skills,91.0,250.0,both,,no_tech
25DW,44104,Hogeschool Utrecht,onderwijs,n.v.t. (onderwijs),Master Deaf Studies & Communication Needs,hbo,master,1.0,4.0,1.0,2.0,0.0,2.0,1.0,4.0,0.0,4.0,5.0,3.0,2.0,5.0,4.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,3.0,1.0,0.0,4.0,4.0,2.0,3.0,1.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen speciaal,Onderwijs en Opvoeding,1.0,Master Deaf Studies & Communication Needs,5.0,0.0,both,,no_tech
25DW,80030,Hogeschool Utrecht,onderwijs,n.v.t. (onderwijs),Schrijftolk,hbo,associate degree,2.0,16.0,3.0,15.0,2.0,27.0,3.0,18.0,0.0,10.0,18.0,18.0,29.0,21.0,10.0,0.0,8.0,0.0,18.0,0.0,8.0,0.0,9.0,1.0,15.0,8.0,18.0,8.0,9.0,16.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen speciaal,Onderwijs en Opvoeding,1.0,Speech to Text Interpreter,21.0,63.0,both,,no_tech
25DW,80051,Hogeschool Utrecht,onderwijs,n.v.t. (onderwijs),Onderwijsondersteuner Techniek,hbo,associate degree,1.0,,0.0,,0.0,,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,4.0,,1.0,,0.0,,0.0,,0.0,,4.0,1.0,0.0,0.0,0.0,"['363', '307', '344', '518', '599']",,,1.0,Onderwijsondersteuner Techniek,0.0,0.0,left_only,,no_tech
25DW,45262,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Engels,hbo,master,10.0,22.0,8.0,17.0,4.0,16.0,5.0,19.0,10.0,10.0,32.0,25.0,20.0,24.0,20.0,4.0,14.0,3.0,22.0,5.0,13.0,7.0,20.0,8.0,11.0,18.0,25.0,18.0,27.0,19.0,"['363', '307', '344', '518', '599']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in English,25.0,76.0,both,,no_tech
25DW,45263,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Wiskunde,hbo,master,10.0,13.0,19.0,12.0,9.0,17.0,11.0,17.0,14.0,28.0,23.0,31.0,26.0,28.0,42.0,13.0,7.0,15.0,8.0,15.0,16.0,8.0,6.0,6.0,14.0,20.0,23.0,31.0,14.0,20.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen exact,Onderwijs en Opvoeding,1.0,Teacher Education in Mathematics,32.0,106.0,both,mathematics,no_tech
25DW,45264,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Aardrijkskunde,hbo,master,14.0,6.0,18.0,5.0,16.0,6.0,12.0,9.0,7.0,6.0,20.0,23.0,22.0,21.0,13.0,14.0,4.0,10.0,8.0,12.0,9.0,10.0,5.0,23.0,4.0,18.0,18.0,21.0,15.0,27.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen maatschappijvakken,Onderwijs en Opvoeding,1.0,Teacher Education in Geography,23.0,83.0,both,,no_tech
25DW,45265,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Duits,hbo,master,9.0,12.0,4.0,20.0,5.0,18.0,5.0,12.0,8.0,23.0,21.0,24.0,23.0,17.0,31.0,3.0,10.0,0.0,11.0,2.0,6.0,6.0,12.0,5.0,15.0,13.0,11.0,8.0,18.0,20.0,"['363', '307', '344', '518', '599']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in German,18.0,74.0,both,,no_tech
25DW,45266,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Frans,hbo,master,2.0,10.0,2.0,8.0,2.0,11.0,4.0,7.0,2.0,6.0,12.0,10.0,13.0,11.0,8.0,2.0,7.0,1.0,8.0,0.0,5.0,0.0,3.0,1.0,6.0,9.0,9.0,5.0,3.0,7.0,"['363', '307', '344', '518', '599']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in French,11.0,36.0,both,,no_tech
25DW,45269,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Nederlands,hbo,master,4.0,22.0,5.0,22.0,8.0,16.0,3.0,24.0,2.0,17.0,26.0,27.0,24.0,27.0,19.0,2.0,23.0,7.0,17.0,5.0,15.0,8.0,22.0,5.0,11.0,25.0,24.0,20.0,30.0,16.0,"['363', '307', '344', '518', '599']",Lerarenopleiding talen,Onderwijs en Opvoeding,1.0,Teacher Education in Dutch,34.0,77.0,both,,no_tech
25DW,45272,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Natuurkunde,hbo,master,23.0,4.0,18.0,0.0,14.0,4.0,25.0,2.0,14.0,7.0,27.0,18.0,18.0,27.0,21.0,12.0,6.0,8.0,1.0,20.0,3.0,13.0,2.0,9.0,0.0,18.0,9.0,23.0,15.0,9.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen exact,Onderwijs en Opvoeding,1.0,Teacher Education in Physics,26.0,81.0,both,,no_tech
25DW,45273,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Scheikunde,hbo,master,12.0,9.0,10.0,3.0,8.0,9.0,11.0,10.0,9.0,6.0,21.0,13.0,17.0,21.0,15.0,0.0,0.0,3.0,4.0,4.0,3.0,4.0,4.0,9.0,8.0,0.0,7.0,7.0,8.0,17.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen exact,Onderwijs en Opvoeding,1.0,Teacher Education in Chemistry,24.0,87.0,both,,no_tech
25DW,45279,Hogeschool Utrecht,onderwijs,opleidingen tot leraar vo van de 1ste graad in alg. vakken,Leraar Biologie,hbo,master,14.0,8.0,10.0,15.0,6.0,10.0,5.0,13.0,12.0,7.0,22.0,25.0,16.0,18.0,19.0,9.0,13.0,12.0,6.0,13.0,7.0,3.0,4.0,13.0,13.0,22.0,18.0,20.0,7.0,26.0,"['363', '307', '344', '518', '599']",Lerarenopleidingen exact,Onderwijs en Opvoeding,1.0,Teacher Education in Biology,19.0,92.0,both,,no_tech
25DW,30020,Hogeschool Utrecht,techniek,n.v.t. (techniek),HBO-ICT,hbo,bachelor,345.0,10.0,347.0,26.0,365.0,17.0,455.0,36.0,431.0,32.0,355.0,373.0,382.0,491.0,463.0,156.0,4.0,168.0,5.0,179.0,10.0,207.0,8.0,221.0,5.0,160.0,173.0,189.0,215.0,226.0,"['363', '307', '344', '518', '599']",Informatica,Exact en Informatica,1.0,HBO Information Technology,657.0,1791.0,both,"information, technology",support
25DW,34092,Hogeschool Utrecht,techniek,n.v.t. (techniek),Communication and Multimedia Design,hbo,bachelor,69.0,92.0,84.0,130.0,49.0,101.0,84.0,172.0,93.0,135.0,161.0,214.0,150.0,256.0,228.0,63.0,68.0,92.0,89.0,46.0,74.0,48.0,84.0,45.0,66.0,131.0,181.0,120.0,132.0,111.0,"['363', '307', '344', '518', '599']",Mediastudies,Taal en Communicatie,1.0,Communication & Multimedia Design,378.0,1008.0,both,"multimedia, design",designer
25DW,34267,Hogeschool Utrecht,techniek,n.v.t. (techniek),Elektrotechniek,hbo,bachelor,50.0,3.0,65.0,5.0,66.0,2.0,57.0,5.0,55.0,2.0,53.0,70.0,68.0,62.0,57.0,47.0,5.0,44.0,3.0,30.0,2.0,28.0,1.0,30.0,2.0,52.0,47.0,32.0,29.0,32.0,"['363', '307', '344', '518', '599']",Elektrotechniek,Techniek,1.0,Electrical and Electronic Engineering,92.0,283.0,both,engineer,no_tech
25DW,34275,Hogeschool Utrecht,techniek,n.v.t. (techniek),Chemische Technologie,hbo,bachelor,56.0,13.0,41.0,7.0,31.0,6.0,25.0,5.0,35.0,7.0,69.0,48.0,37.0,30.0,42.0,23.0,6.0,26.0,8.0,31.0,5.0,26.0,4.0,34.0,9.0,29.0,34.0,36.0,30.0,43.0,"['363', '307', '344', '518', '599']",Chemie en Chemische technologie,Exact en Informatica,1.0,Chemical Engineering,46.0,216.0,both,engineer,no_tech
25DW,34280,Hogeschool Utrecht,techniek,n.v.t. (techniek),Werktuigbouwkunde,hbo,bachelor,82.0,3.0,129.0,4.0,121.0,7.0,99.0,10.0,92.0,3.0,85.0,133.0,128.0,109.0,95.0,58.0,4.0,53.0,5.0,56.0,1.0,56.0,1.0,62.0,4.0,62.0,58.0,57.0,57.0,66.0,"['363', '307', '344', '518', '599']",Werktuigbouwkunde,Techniek,1.0,Mechanical Engineering,158.0,532.0,both,engineer,no_tech
25DW,34396,Hogeschool Utrecht,techniek,n.v.t. (techniek),Chemie,hbo,bachelor,52.0,29.0,52.0,17.0,64.0,30.0,48.0,30.0,41.0,31.0,81.0,69.0,94.0,78.0,72.0,27.0,10.0,23.0,19.0,39.0,23.0,41.0,20.0,35.0,29.0,37.0,42.0,62.0,61.0,64.0,"['363', '307', '344', '518', '599']",Chemie en Chemische technologie,Exact en Informatica,1.0,Chemistry,120.0,395.0,both,,no_tech
25DW,34397,Hogeschool Utrecht,techniek,n.v.t. (techniek),Biologie en Medisch Laboratoriumonderzoek,hbo,bachelor,79.0,90.0,86.0,116.0,86.0,163.0,83.0,185.0,94.0,166.0,169.0,202.0,249.0,268.0,260.0,36.0,39.0,41.0,57.0,46.0,55.0,50.0,87.0,61.0,63.0,75.0,98.0,101.0,137.0,124.0,"['363', '307', '344', '518', '599']",Biologie en medisch labaratoriumonderzoek,Aarde en Milieu,1.0,Biology & Medical Laboratory Research,328.0,972.0,both,,no_tech
25DW,34421,Hogeschool Utrecht,techniek,n.v.t. (techniek),Technische Bedrijfskunde,hbo,bachelor,125.0,24.0,127.0,23.0,165.0,24.0,176.0,25.0,135.0,16.0,149.0,150.0,189.0,201.0,151.0,88.0,3.0,66.0,9.0,84.0,14.0,101.0,18.0,98.0,17.0,91.0,75.0,98.0,119.0,115.0,"['363', '307', '344', '518', '599']",Bedrijfskunde en management,Economie en Bedrijf,1.0,Industrial Engineering & Management,272.0,933.0,both,engineer,no_tech
25DW,39280,Hogeschool Utrecht,techniek,n.v.t. (techniek),Built Environment,hbo,bachelor,106.0,38.0,102.0,51.0,102.0,33.0,122.0,43.0,106.0,42.0,144.0,153.0,135.0,165.0,148.0,167.0,28.0,168.0,30.0,160.0,19.0,120.0,18.0,76.0,12.0,195.0,198.0,179.0,138.0,88.0,"['363', '307', '344', '518', '599']",Bouwkunde,Techniek,1.0,Built Environment,255.0,746.0,both,,no_tech
25DW,49144,Hogeschool Utrecht,techniek,n.v.t. (techniek),Next Level Engineering,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,15.0,,,,,,,,,,,,,,,,"['363', '307', '344', '518', '599']",,,1.0,Next Level Engineering,0.0,0.0,left_only,engineer,data
25DW,49503,Hogeschool Utrecht,techniek,n.v.t. (techniek),Master of Urban and Area Development (joint degree),hbo,master,0.0,0.0,0.0,0.0,22.0,16.0,21.0,6.0,11.0,6.0,0.0,0.0,38.0,27.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,5.0,0.0,0.0,0.0,1.0,14.0,"['363', '307', '344', '518', '599']",,,1.0,Master of Urban and Area Development (joint degree),27.0,27.0,left_only,,no_tech
25DW,80133,Hogeschool Utrecht,techniek,n.v.t. (techniek),Logistiek Management,hbo,associate degree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,14.0,,,,,,,,,,,,,,,,"['363', '307', '344', '518', '599']",,,1.0,Logistiek Management,0.0,0.0,left_only,,no_tech
25JX,30029,Zuyd Hogeschool,economie,n.v.t. (economie),International Business,hbo,bachelor,89.0,56.0,97.0,72.0,133.0,80.0,113.0,70.0,94.0,61.0,145.0,169.0,213.0,183.0,155.0,67.0,53.0,83.0,63.0,63.0,53.0,59.0,55.0,63.0,48.0,120.0,146.0,116.0,114.0,111.0,"['917', '935', '1883']",International Business and Management,Economie en Bedrijf,1.0,International Business,219.0,780.0,both,,no_tech
25JX,34145,Zuyd Hogeschool,economie,n.v.t. (economie),Business Studies,hbo,bachelor,69.0,76.0,58.0,68.0,82.0,94.0,68.0,74.0,95.0,96.0,145.0,126.0,176.0,142.0,191.0,60.0,95.0,66.0,87.0,51.0,70.0,60.0,52.0,59.0,71.0,155.0,153.0,121.0,112.0,130.0,"['917', '935', '1883']",Business Studies,Economie en Bedrijf,1.0,Business Studies,188.0,730.0,both,,no_tech
25JX,34402,Zuyd Hogeschool,economie,n.v.t. (economie),Commerciele Economie,hbo,bachelor,87.0,37.0,82.0,38.0,95.0,30.0,73.0,34.0,70.0,39.0,124.0,120.0,125.0,107.0,109.0,54.0,38.0,88.0,46.0,88.0,54.0,93.0,61.0,77.0,33.0,92.0,134.0,142.0,154.0,110.0,"['917', '935', '1883']",Commerciële economie,Economie en Bedrijf,1.0,Marketing Management,147.0,617.0,both,marketing,no_tech
25JX,34406,Zuyd Hogeschool,economie,n.v.t. (economie),Accountancy,hbo,bachelor,33.0,19.0,40.0,11.0,30.0,14.0,23.0,18.0,32.0,18.0,52.0,51.0,44.0,41.0,50.0,23.0,12.0,23.0,8.0,10.0,11.0,32.0,13.0,14.0,7.0,35.0,31.0,21.0,45.0,21.0,"['917', '935', '1883']",Accountancy en fiscaal,Economie en Bedrijf,1.0,Accountancy,53.0,190.0,both,,no_tech
25JX,34411,Zuyd Hogeschool,economie,n.v.t. (economie),Hotel Management,hbo,bachelor,97.0,220.0,113.0,224.0,124.0,209.0,118.0,211.0,112.0,204.0,317.0,337.0,333.0,329.0,316.0,78.0,161.0,79.0,146.0,57.0,153.0,72.0,189.0,78.0,184.0,239.0,225.0,210.0,261.0,262.0,"['917', '935', '1883']",Hotelschool,Economie en Bedrijf,1.0,Hospitality Management,201.0,1309.0,both,,no_tech
25JX,34419,Zuyd Hogeschool,economie,n.v.t. (economie),European Studies,hbo,bachelor,16.0,50.0,37.0,58.0,40.0,56.0,40.0,54.0,31.0,38.0,66.0,95.0,96.0,94.0,69.0,6.0,48.0,12.0,38.0,23.0,41.0,18.0,46.0,16.0,37.0,54.0,50.0,64.0,64.0,53.0,"['917', '935', '1883']",International Business and Management,Economie en Bedrijf,1.0,European Studies,121.0,378.0,both,,no_tech
25JX,34456,Zuyd Hogeschool,economie,n.v.t. (economie),Orientaalse Talen en Communicatie,hbo,bachelor,36.0,58.0,23.0,49.0,32.0,75.0,35.0,65.0,25.0,53.0,94.0,72.0,107.0,100.0,78.0,16.0,38.0,13.0,32.0,20.0,45.0,14.0,47.0,14.0,39.0,54.0,45.0,65.0,61.0,53.0,"['917', '935', '1883']",International Business and Management,Economie en Bedrijf,1.0,Oriental Languages & Communication,127.0,424.0,both,,no_tech
25JX,34500,Zuyd Hogeschool,economie,n.v.t. (economie),Facility Management,hbo,bachelor,45.0,61.0,60.0,54.0,55.0,35.0,60.0,69.0,59.0,57.0,106.0,114.0,90.0,129.0,116.0,62.0,60.0,63.0,78.0,52.0,66.0,84.0,69.0,41.0,57.0,122.0,141.0,118.0,153.0,98.0,"['917', '935', '1883']",Facility management,Economie en Bedrijf,1.0,Facility Management,161.0,584.0,both,,no_tech
25JX,35520,Zuyd Hogeschool,economie,n.v.t. (economie),Finance & Control,hbo,bachelor,74.0,16.0,81.0,16.0,60.0,22.0,59.0,24.0,55.0,17.0,90.0,97.0,82.0,83.0,72.0,59.0,23.0,35.0,14.0,37.0,20.0,45.0,22.0,42.0,20.0,82.0,49.0,57.0,67.0,62.0,"['917', '935', '1883']",Bedrijfseconomie,Economie en Bedrijf,1.0,Finance & Control,92.0,336.0,both,,no_tech
25JX,39205,Zuyd Hogeschool,economie,n.v.t. (economie),HBO - Rechten,hbo,bachelor,44.0,76.0,46.0,105.0,45.0,108.0,62.0,117.0,61.0,111.0,120.0,151.0,153.0,179.0,172.0,18.0,70.0,21.0,55.0,22.0,55.0,38.0,93.0,42.0,66.0,88.0,76.0,77.0,131.0,108.0,"['917', '935', '1883']",HBO - Rechten,Recht en Bestuur,1.0,Law,225.0,671.0,both,,no_tech
25JX,80004,Zuyd Hogeschool,economie,n.v.t. (economie),Facility Management,hbo,associate degree,0.0,0.0,19.0,15.0,15.0,20.0,25.0,21.0,28.0,32.0,0.0,34.0,35.0,46.0,60.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,12.0,12.0,0.0,0.0,1.0,20.0,24.0,"['917', '935', '1883']",Facility management,Economie en Bedrijf,1.0,Facility Management,46.0,81.0,both,,no_tech
25JX,80096,Zuyd Hogeschool,economie,n.v.t. (economie),Commercieel Management,hbo,associate degree,23.0,17.0,19.0,19.0,8.0,4.0,36.0,11.0,47.0,21.0,40.0,38.0,12.0,47.0,68.0,4.0,6.0,13.0,8.0,12.0,11.0,8.0,7.0,5.0,4.0,10.0,21.0,23.0,15.0,9.0,"['917', '935', '1883']",Bedrijfskunde en management,Economie en Bedrijf,1.0,Commercial Management,47.0,66.0,both,,no_tech
25JX,34116,Zuyd Hogeschool,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Social Work,hbo,bachelor,36.0,98.0,27.0,96.0,46.0,126.0,38.0,131.0,26.0,109.0,134.0,123.0,172.0,169.0,135.0,31.0,184.0,39.0,147.0,51.0,116.0,35.0,98.0,34.0,68.0,215.0,186.0,167.0,133.0,102.0,"['917', '935', '1883']",Social Work,Gedrag en Maatschappij,1.0,Social Work,220.0,678.0,both,,no_tech
25JX,34644,Zuyd Hogeschool,gedrag en maatschappij,n.v.t. (gedrag en maatschappij),Vaktherapie,hbo,bachelor,1.0,39.0,4.0,30.0,1.0,23.0,2.0,20.0,6.0,24.0,40.0,34.0,24.0,22.0,30.0,2.0,24.0,6.0,26.0,5.0,24.0,6.0,27.0,1.0,26.0,26.0,32.0,29.0,33.0,27.0,"['917', '935', '1883']",Creatieve Therapie,Gedrag en Maatschappij,1.0,Arts Therapies,27.0,108.0,both,,no_tech
25JX,34134,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Verloskunde,hbo,bachelor,0.0,48.0,1.0,50.0,0.0,49.0,0.0,38.0,0.0,33.0,48.0,51.0,49.0,38.0,33.0,0.0,41.0,1.0,29.0,0.0,49.0,0.0,44.0,0.0,40.0,41.0,30.0,49.0,44.0,40.0,"['917', '935', '1883']",Verloskunde,Gezondheid,1.0,Midwifery,60.0,237.0,both,,no_tech
25JX,34560,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Opleiding tot Verpleegkundige,hbo,bachelor,20.0,175.0,23.0,189.0,42.0,237.0,41.0,273.0,44.0,228.0,195.0,212.0,279.0,314.0,272.0,16.0,128.0,22.0,97.0,19.0,158.0,25.0,159.0,11.0,142.0,144.0,119.0,177.0,184.0,153.0,"['917', '935', '1883']",Verpleegkunde,Gezondheid,1.0,Nursing,354.0,1015.0,both,,no_tech
25JX,34570,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Opleiding tot Fysiotherapeut,hbo,bachelor,83.0,96.0,68.0,106.0,148.0,154.0,111.0,130.0,88.0,124.0,179.0,174.0,302.0,241.0,212.0,61.0,85.0,56.0,78.0,55.0,71.0,34.0,90.0,36.0,57.0,146.0,134.0,126.0,124.0,93.0,"['917', '935', '1883']",Fysiotherapie,Gezondheid,1.0,Physiotherapy,282.0,747.0,both,,no_tech
25JX,34574,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Opleiding voor Ergotherapie,hbo,bachelor,23.0,131.0,30.0,110.0,13.0,109.0,11.0,106.0,17.0,96.0,154.0,140.0,122.0,117.0,113.0,11.0,109.0,13.0,145.0,16.0,114.0,18.0,101.0,25.0,109.0,120.0,158.0,130.0,119.0,134.0,"['917', '935', '1883']",Ergotherapie en Beweging,Gezondheid,1.0,Occupational Therapy,133.0,451.0,both,,no_tech
25JX,34578,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Opleiding voor Logopedie,hbo,bachelor,1.0,56.0,0.0,53.0,1.0,41.0,1.0,31.0,1.0,47.0,57.0,53.0,42.0,32.0,48.0,1.0,43.0,1.0,42.0,1.0,57.0,2.0,50.0,1.0,33.0,44.0,43.0,58.0,52.0,34.0,"['917', '935', '1883']",Logopedie,Gezondheid,1.0,Speech and Language Therapy,38.0,158.0,both,,no_tech
25JX,49145,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Gezondheidsinnovatie,hbo,master,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,0.0,0.0,0.0,0.0,25.0,,,,,,,,,,,,,,,,"['917', '935', '1883']",,,1.0,Gezondheidsinnovatie,0.0,0.0,left_only,,no_tech
25JX,49246,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Advanced Nursing Practice,hbo,master,6.0,19.0,3.0,13.0,4.0,22.0,2.0,25.0,5.0,28.0,25.0,16.0,26.0,27.0,33.0,3.0,12.0,5.0,14.0,3.0,17.0,2.0,11.0,2.0,22.0,15.0,19.0,20.0,13.0,24.0,"['917', '935', '1883']",Verpleegkunde,Gezondheid,1.0,Advanced Nursing Practice,27.0,55.0,both,,no_tech
25JX,80131,Zuyd Hogeschool,gezondheidszorg,n.v.t. (gezondheidszorg),Zorg en Technologie,hbo,associate degree,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,5.0,"['917', '935', '1883']",,,1.0,Zorg en Technologie,0.0,0.0,left_only,,no_tech
25JX,34808,Zuyd Hogeschool,onderwijs,leraar basisonderwijs,Opleiding tot leraar Basisonderwijs,hbo,bachelor,11.0,38.0,7.0,23.0,9.0,37.0,18.0,47.0,14.0,51.0,49.0,30.0,46.0,65.0,65.0,12.0,52.0,6.0,21.0,4.0,28.0,2.0,16.0,5.0,31.0,64.0,27.0,32.0,18.0,36.0,"['917', '935', '1883']",,,1.0,Opleiding tot leraar Basisonderwijs,65.0,65.0,left_only,,no_tech
25JX,34745,Zuyd Hogeschool,onderwijs,lerarenopleidingen op het gebied van de kunst,Docent Theater,hbo,bachelor,2.0,6.0,4.0,8.0,3.0,6.0,3.0,8.0,4.0,7.0,8.0,12.0,9.0,11.0,11.0,5.0,11.0,8.0,6.0,8.0,11.0,5.0,14.0,7.0,10.0,16.0,14.0,19.0,19.0,17.0,"['917', '935', '1883']",Toneel,Kunst en Cultuur,1.0,Theatre in Education,19.0,43.0,both,,no_tech
25JX,39100,Zuyd Hogeschool,onderwijs,lerarenopleidingen op het gebied van de kunst,Docent Beeldende Kunst en Vormgeving,hbo,bachelor,3.0,13.0,1.0,12.0,0.0,14.0,1.0,22.0,3.0,12.0,16.0,13.0,14.0,23.0,15.0,0.0,9.0,3.0,12.0,0.0,9.0,1.0,12.0,2.0,14.0,9.0,15.0,9.0,13.0,16.0,"['917', '935', '1883']",Kunstacademie,Kunst en Cultuur,1.0,Fine Art and Design in Education,30.0,78.0,both,design,no_tech
25JX,39112,Zuyd Hogeschool,onderwijs,lerarenopleidingen op het gebied van de kunst,Docent Muziek,hbo,bachelor,5.0,7.0,6.0,8.0,1.0,8.0,6.0,4.0,3.0,7.0,12.0,14.0,9.0,10.0,10.0,3.0,15.0,6.0,14.0,11.0,8.0,1.0,7.0,5.0,5.0,18.0,20.0,19.0,8.0,10.0,"['917', '935', '1883']",Muziek,Kunst en Cultuur,1.0,Music in Education,18.0,57.0,both,,no_tech
25JX,30099,Zuyd Hogeschool,taal en cultuur,opleidingen op het gebied van de kunst,Interdisciplinary Arts,hbo,bachelor,0.0,0.0,2.0,10.0,5.0,12.0,2.0,15.0,4.0,14.0,0.0,12.0,17.0,17.0,18.0,0.0,0.0,1.0,4.0,3.0,9.0,0.0,3.0,1.0,4.0,0.0,5.0,12.0,3.0,5.0,"['917', '935', '1883']",Kunstacademie,Kunst en Cultuur,1.0,Interdisciplinary Arts,20.0,47.0,both,,no_tech
25JX,34098,Zuyd Hogeschool,taal en cultuur,opleidingen op het gebied van de kunst,Vertaalacademie,hbo,bachelor,10.0,61.0,6.0,45.0,9.0,69.0,4.0,32.0,7.0,36.0,71.0,51.0,78.0,36.0,43.0,13.0,20.0,8.0,22.0,5.0,17.0,7.0,21.0,8.0,28.0,33.0,30.0,22.0,28.0,36.0,"['917', '935', '1883']",Vertaalopleidingen,Taal en Communicatie,1.0,Translation and Interpreting,67.0,212.0,both,,no_tech
25JX,34739,Zuyd Hogeschool,taal en cultuur,opleidingen op het gebied van de kunst,Muziek,hbo,bachelor,47.0,51.0,51.0,41.0,52.0,42.0,54.0,42.0,42.0,52.0,98.0,92.0,94.0,96.0,94.0,33.0,28.0,37.0,44.0,42.0,30.0,44.0,34.0,32.0,37.0,61.0,81.0,72.0,78.0,69.0,"['917', '935', '1883']",Muziek,Kunst en Cultuur,1.0,Music,96.0,301.0,both,,no_tech
25JX,34860,Zuyd Hogeschool,taal en cultuur,opleidingen op het gebied van de kunst,Theater,hbo,bachelor,19.0,22.0,6.0,21.0,7.0,21.0,14.0,22.0,9.0,22.0,41.0,27.0,28.0,36.0,31.0,9.0,29.0,15.0,22.0,11.0,23.0,14.0,19.0,11.0,20.0,38.0,37.0,34.0,33.0,31.0,"['917', '935', '1883']",Toneel,Kunst en Cultuur,1.0,Theatre,38.0,137.0,both,,no_tech
